"timestamp","azimuth","elevation","timestamp_float"
"2024-03-26T02:17:50.000000+00:00","116.374","20.522","1711419470.0"
"2024-03-26T02:17:51.000000+00:00","116.373","20.522","1711419471.0"
"2024-03-26T02:17:52.000000+00:00","116.353","20.522","1711419472.0"
"2024-03-26T02:17:53.000000+00:00","116.354","20.522","1711419473.0"
"2024-03-26T02:17:54.000000+00:00","116.372","20.522","1711419474.0"
"2024-03-26T02:17:55.000000+00:00","116.374","20.522","1711419475.0"
"2024-03-26T02:17:56.000000+00:00","116.374","20.522","1711419476.0"
"2024-03-26T02:17:57.000000+00:00","116.374","20.522","1711419477.0"
"2024-03-26T02:17:58.000000+00:00","116.352","20.522","1711419478.0"
"2024-03-26T02:18:00.000000+00:00","116.352","20.522","1711419480.0"
"2024-03-26T02:18:01.000000+00:00","116.374","20.522","1711419481.0"
"2024-03-26T02:18:02.000000+00:00","116.373","20.522","1711419482.0"
"2024-03-26T02:18:03.000000+00:00","116.373","20.522","1711419483.0"
"2024-03-26T02:18:04.000000+00:00","116.355","20.522","1711419484.0"
"2024-03-26T02:18:05.000000+00:00","116.354","20.522","1711419485.0"
"2024-03-26T02:18:06.000000+00:00","116.355","20.522","1711419486.0"
"2024-03-26T02:18:07.000000+00:00","116.373","20.522","1711419487.0"
"2024-03-26T02:18:08.000000+00:00","116.373","20.522","1711419488.0"
"2024-03-26T02:18:09.000000+00:00","116.373","20.522","1711419489.0"
"2024-03-26T02:18:10.000000+00:00","116.373","20.522","1711419490.0"
"2024-03-26T02:18:11.000000+00:00","116.349","20.522","1711419491.0"
"2024-03-26T02:18:12.000000+00:00","116.351","20.522","1711419492.0"
"2024-03-26T02:18:13.000000+00:00","116.374","20.522","1711419493.0"
"2024-03-26T02:18:14.000000+00:00","116.373","20.523","1711419494.0"
"2024-03-26T02:18:15.000000+00:00","116.373","20.522","1711419495.0"
"2024-03-26T02:18:16.000000+00:00","116.352","20.522","1711419496.0"
"2024-03-26T02:18:17.000000+00:00","116.354","20.522","1711419497.0"
"2024-03-26T02:18:18.000000+00:00","116.371","20.522","1711419498.0"
"2024-03-26T02:18:19.000000+00:00","116.374","20.522","1711419499.0"
"2024-03-26T02:18:20.000000+00:00","116.373","20.522","1711419500.0"
"2024-03-26T02:18:21.000000+00:00","116.37","20.522","1711419501.0"
"2024-03-26T02:18:22.000000+00:00","116.356","20.522","1711419502.0"
"2024-03-26T02:18:23.000000+00:00","116.339","20.522","1711419503.0"
"2024-03-26T02:18:24.000000+00:00","116.378","20.523","1711419504.0"
"2024-03-26T02:18:25.000000+00:00","116.372","20.522","1711419505.0"
"2024-03-26T02:18:26.000000+00:00","116.358","20.522","1711419506.0"
"2024-03-26T02:18:27.000000+00:00","116.358","20.522","1711419507.0"
"2024-03-26T02:18:28.000000+00:00","116.37","20.522","1711419508.0"
"2024-03-26T02:18:29.000000+00:00","116.37","20.522","1711419509.0"
"2024-03-26T02:18:30.000000+00:00","116.366","20.522","1711419510.0"
"2024-03-26T02:18:31.000000+00:00","116.352","20.522","1711419511.0"
"2024-03-26T02:18:32.000000+00:00","116.373","20.522","1711419512.0"
"2024-03-26T02:18:33.000000+00:00","116.359","20.522","1711419513.0"
"2024-03-26T02:18:34.000000+00:00","116.365","20.522","1711419514.0"
