"timestamp","actual_azimuth","actual_elevation","commanded_azimuth","commanded_elevation"
"2024-03-26T02:14:38.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:14:39.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:14:40.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:14:41.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:14:42.000000+00:00","116.363","20.522","116.364","20.522"
"2024-03-26T02:14:43.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:14:44.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:14:45.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:14:46.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:14:47.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:14:48.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:14:49.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:14:50.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:14:51.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:14:52.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:14:53.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:14:54.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:14:55.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:14:56.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:14:57.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:14:58.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:14:59.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:15:00.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:15:01.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:15:02.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:15:03.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:15:04.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:15:05.000000+00:00","116.369","20.522","116.364","20.522"
"2024-03-26T02:15:06.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:15:07.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:15:08.000000+00:00","116.371","20.523","116.364","20.522"
"2024-03-26T02:15:09.000000+00:00","116.373","20.523","116.364","20.522"
"2024-03-26T02:15:10.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:15:11.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:15:12.000000+00:00","116.357","20.522","116.364","20.522"
"2024-03-26T02:15:13.000000+00:00","116.35","20.522","116.364","20.522"
"2024-03-26T02:15:14.000000+00:00","116.376","20.523","116.364","20.522"
"2024-03-26T02:15:15.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:15:16.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:15:17.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:15:18.000000+00:00","116.319","20.521","116.364","20.522"
"2024-03-26T02:15:19.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:15:20.000000+00:00","116.363","20.522","116.364","20.522"
