"power","timestamp_float","timestamp_dt","elevation","azimuth"
"-49.65","1707262751.200686","2024-02-06T18:39:11.200686+00:00","",""
"-49.65","1707262751.351186","2024-02-06T18:39:11.351186+00:00","",""
"-49.65","1707262751.495711","2024-02-06T18:39:11.495711+00:00","",""
"-49.65","1707262751.640102","2024-02-06T18:39:11.640102+00:00","",""
"-49.65","1707262751.777771","2024-02-06T18:39:11.777771+00:00","",""
"-49.64","1707262751.927074","2024-02-06T18:39:11.927074+00:00","",""
"-49.64","1707262752.074603","2024-02-06T18:39:12.074603+00:00","",""
"-49.64","1707262752.218666","2024-02-06T18:39:12.218666+00:00","",""
"-49.64","1707262752.360403","2024-02-06T18:39:12.360403+00:00","",""
"-49.64","1707262752.509474","2024-02-06T18:39:12.509474+00:00","",""
"-49.64","1707262752.650915","2024-02-06T18:39:12.650915+00:00","",""
"-49.64","1707262752.792578","2024-02-06T18:39:12.792578+00:00","",""
"-49.64","1707262752.941876","2024-02-06T18:39:12.941876+00:00","",""
"-49.64","1707262753.088901","2024-02-06T18:39:13.088901+00:00","",""
"-49.64","1707262753.233858","2024-02-06T18:39:13.233858+00:00","",""
"-49.64","1707262753.378305","2024-02-06T18:39:13.378305+00:00","",""
"-49.64","1707262753.517657","2024-02-06T18:39:13.517657+00:00","",""
"-49.64","1707262753.668671","2024-02-06T18:39:13.668671+00:00","",""
"-49.63","1707262753.807858","2024-02-06T18:39:13.807858+00:00","",""
"-49.63","1707262753.957184","2024-02-06T18:39:13.957184+00:00","",""
"-49.63","1707262754.101451","2024-02-06T18:39:14.101451+00:00","",""
"-49.64","1707262754.240781","2024-02-06T18:39:14.240781+00:00","",""
"-49.64","1707262754.392351","2024-02-06T18:39:14.392351+00:00","",""
"-49.64","1707262754.530411","2024-02-06T18:39:14.530411+00:00","",""
"-49.65","1707262754.680246","2024-02-06T18:39:14.680246+00:00","",""
"-49.65","1707262754.820262","2024-02-06T18:39:14.820262+00:00","",""
"-49.66","1707262754.969181","2024-02-06T18:39:14.969181+00:00","",""
"-49.66","1707262755.113361","2024-02-06T18:39:15.113361+00:00","",""
"-49.66","1707262755.25665","2024-02-06T18:39:15.256650+00:00","",""
"-49.66","1707262755.403192","2024-02-06T18:39:15.403192+00:00","",""
"-49.66","1707262755.546386","2024-02-06T18:39:15.546386+00:00","",""
"-49.66","1707262755.696108","2024-02-06T18:39:15.696108+00:00","",""
"-49.66","1707262755.840685","2024-02-06T18:39:15.840685+00:00","",""
